#,name,asof,volume,close_usd,sector_level1,sector_level2
1,Amazon Com,1999-12-01,213201960,4.25,CONSUMER CYCLICALS,Retailers
2,Amazon Com,1999-12-02,190767980,4.453125,CONSUMER CYCLICALS,Retailers
3,Amazon Com,1999-12-03,222977980,4.328125,CONSUMER CYCLICALS,Retailers
4,Amazon Com,1999-12-06,183930000,4.3875,CONSUMER CYCLICALS,Retailers
5,Amazon Com,1999-12-07,134525940,4.3031250000000005,CONSUMER CYCLICALS,Retailers
6,Amazon Com,1999-12-08,257304000,4.4281250000000005,CONSUMER CYCLICALS,Retailers
7,Amazon Com,1999-12-09,827050000,5.18125,CONSUMER CYCLICALS,Retailers
8,Amazon Com,1999-12-10,298434000,5.3343750000000005,CONSUMER CYCLICALS,Retailers
9,Amazon Com,1999-12-13,173050000,5.125,CONSUMER CYCLICALS,Retailers
10,Amazon Com,1999-12-14,202085940,4.78125,CONSUMER CYCLICALS,Retailers
11,Amazon Com,1999-12-15,202595940,4.825,CONSUMER CYCLICALS,Retailers
12,Amazon Com,1999-12-16,140047980,4.74375,CONSUMER CYCLICALS,Retailers
13,Amazon Com,1999-12-17,119030000,4.703125,CONSUMER CYCLICALS,Retailers
14,Amazon Com,1999-12-20,211074000,4.8500000000000005,CONSUMER CYCLICALS,Retailers
15,Amazon Com,1999-12-21,190115940,4.99375,CONSUMER CYCLICALS,Retailers
16,Amazon Com,1999-12-22,118397980,4.884375,CONSUMER CYCLICALS,Retailers
17,Amazon Com,1999-12-23,258247980,4.5,CONSUMER CYCLICALS,Retailers
18,Amazon Com,1999-12-24,0,4.5,CONSUMER CYCLICALS,Retailers
19,Amazon Com,1999-12-27,330390000,4.05625,CONSUMER CYCLICALS,Retailers
20,Amazon Com,1999-12-28,206080000,4.1156250000000005,CONSUMER CYCLICALS,Retailers
21,Amazon Com,1999-12-29,118253980,4.175,CONSUMER CYCLICALS,Retailers
22,Amazon Com,1999-12-30,185100000,3.953125,CONSUMER CYCLICALS,Retailers
23,Amazon Com,1999-12-31,145411960,3.8062500000000004,CONSUMER CYCLICALS,Retailers
24,Amazon Com,2000-01-03,322505940,4.46875,CONSUMER CYCLICALS,Retailers
25,Amazon Com,2000-01-04,349511960,4.096875,CONSUMER CYCLICALS,Retailers
26,Amazon Com,2000-01-05,769021960,3.4875000000000003,CONSUMER CYCLICALS,Retailers
27,Amazon Com,2000-01-06,374944000,3.278125,CONSUMER CYCLICALS,Retailers
28,Amazon Com,2000-01-07,210065940,3.4781250000000004,CONSUMER CYCLICALS,Retailers
29,Amazon Com,2000-01-10,295144000,3.459375,CONSUMER CYCLICALS,Retailers
30,Amazon Com,2000-01-11,210114000,3.3375000000000004,CONSUMER CYCLICALS,Retailers
31,Amazon Com,2000-01-12,216097980,3.178125,CONSUMER CYCLICALS,Retailers
32,Amazon Com,2000-01-13,208960000,3.296875,CONSUMER CYCLICALS,Retailers
33,Amazon Com,2000-01-14,137050000,3.2125000000000004,CONSUMER CYCLICALS,Retailers
34,Amazon Com,2000-01-17,0,3.2125000000000004,CONSUMER CYCLICALS,Retailers
35,Amazon Com,2000-01-18,107647980,3.2062500000000003,CONSUMER CYCLICALS,Retailers
36,Amazon Com,2000-01-19,164880000,3.340625,CONSUMER CYCLICALS,Retailers
37,Amazon Com,2000-01-20,119541960,3.2375000000000003,CONSUMER CYCLICALS,Retailers
38,Amazon Com,2000-01-21,229171960,3.1031250000000004,CONSUMER CYCLICALS,Retailers
39,Amazon Com,2000-01-24,583074000,3.50625,CONSUMER CYCLICALS,Retailers
40,Amazon Com,2000-01-25,188663980,3.4625000000000004,CONSUMER CYCLICALS,Retailers
41,Amazon Com,2000-01-26,131140000,3.240625,CONSUMER CYCLICALS,Retailers
42,Amazon Com,2000-01-27,135671960,3.3468750000000003,CONSUMER CYCLICALS,Retailers
43,Amazon Com,2000-01-28,275607980,3.084375,CONSUMER CYCLICALS,Retailers
44,Amazon Com,2000-01-31,213951960,3.2281250000000004,CONSUMER CYCLICALS,Retailers
45,Amazon Com,2000-02-01,268080000,3.371875,CONSUMER CYCLICALS,Retailers
46,Amazon Com,2000-02-02,271690000,3.4718750000000003,CONSUMER CYCLICALS,Retailers
47,Amazon Com,2000-02-03,874784000,4.2093750000000005,CONSUMER CYCLICALS,Retailers
48,Amazon Com,2000-02-04,220455940,3.928125,CONSUMER CYCLICALS,Retailers
49,Amazon Com,2000-02-07,202557980,3.75,CONSUMER CYCLICALS,Retailers
50,Amazon Com,2000-02-08,389391960,4.15625,CONSUMER CYCLICALS,Retailers
51,Amazon Com,2000-02-09,191595940,4.0125,CONSUMER CYCLICALS,Retailers
52,Amazon Com,2000-02-10,199527980,3.809375,CONSUMER CYCLICALS,Retailers
53,Amazon Com,2000-02-11,166175940,3.809375,CONSUMER CYCLICALS,Retailers
54,Amazon Com,2000-02-14,103393980,3.7218750000000003,CONSUMER CYCLICALS,Retailers
55,Amazon Com,2000-02-15,128450000,3.6906250000000003,CONSUMER CYCLICALS,Retailers
56,Amazon Com,2000-02-16,85195940,3.5343750000000003,CONSUMER CYCLICALS,Retailers
57,Amazon Com,2000-02-17,122591960,3.45,CONSUMER CYCLICALS,Retailers
58,Amazon Com,2000-02-18,174467980,3.2375000000000003,CONSUMER CYCLICALS,Retailers
59,Amazon Com,2000-02-21,0,3.2375000000000003,CONSUMER CYCLICALS,Retailers
60,Amazon Com,2000-02-22,113680000,3.178125,CONSUMER CYCLICALS,Retailers
61,Amazon Com,2000-02-23,168820000,3.521875,CONSUMER CYCLICALS,Retailers
62,Amazon Com,2000-02-24,117393980,3.421875,CONSUMER CYCLICALS,Retailers
63,Amazon Com,2000-02-25,97387980,3.4562500000000003,CONSUMER CYCLICALS,Retailers
64,Amazon Com,2000-02-28,101145940,3.2875,CONSUMER CYCLICALS,Retailers
65,Amazon Com,2000-02-29,142925940,3.44375,CONSUMER CYCLICALS,Retailers
66,Amazon Com,2000-03-01,111521960,3.29375,CONSUMER CYCLICALS,Retailers
67,Amazon Com,2000-03-02,159600000,3.1281250000000003,CONSUMER CYCLICALS,Retailers
68,Amazon Com,2000-03-03,121183980,3.125,CONSUMER CYCLICALS,Retailers
69,Amazon Com,2000-03-06,153295940,3.1968750000000004,CONSUMER CYCLICALS,Retailers
70,Amazon Com,2000-03-07,83557980,3.1750000000000003,CONSUMER CYCLICALS,Retailers
71,Amazon Com,2000-03-08,118761960,3.1812500000000004,CONSUMER CYCLICALS,Retailers
72,Amazon Com,2000-03-09,166245940,3.4406250000000003,CONSUMER CYCLICALS,Retailers
73,Amazon Com,2000-03-10,74268000,3.34375,CONSUMER CYCLICALS,Retailers
74,Amazon Com,2000-03-13,112681960,3.265625,CONSUMER CYCLICALS,Retailers
75,Amazon Com,2000-03-14,96101960,3.28125,CONSUMER CYCLICALS,Retailers
76,Amazon Com,2000-03-15,121625940,3.1875,CONSUMER CYCLICALS,Retailers
77,Amazon Com,2000-03-16,194043980,3.3125,CONSUMER CYCLICALS,Retailers
78,Amazon Com,2000-03-17,105945940,3.240625,CONSUMER CYCLICALS,Retailers
79,Amazon Com,2000-03-20,116231960,3.209375,CONSUMER CYCLICALS,Retailers
80,Amazon Com,2000-03-21,341615940,3.6187500000000004,CONSUMER CYCLICALS,Retailers
81,Amazon Com,2000-03-22,231285940,3.5343750000000003,CONSUMER CYCLICALS,Retailers
82,Amazon Com,2000-03-23,108841960,3.3843750000000004,CONSUMER CYCLICALS,Retailers
83,Amazon Com,2000-03-24,194913980,3.6343750000000004,CONSUMER CYCLICALS,Retailers
84,Amazon Com,2000-03-27,94950000,3.65625,CONSUMER CYCLICALS,Retailers
85,Amazon Com,2000-03-28,103943980,3.50625,CONSUMER CYCLICALS,Retailers
86,Amazon Com,2000-03-29,117585940,3.3125,CONSUMER CYCLICALS,Retailers
87,Amazon Com,2000-03-30,100667980,3.325,CONSUMER CYCLICALS,Retailers
88,Amazon Com,2000-03-31,102307980,3.35,CONSUMER CYCLICALS,Retailers
89,Amazon Com,2000-04-03,97211960,3.178125,CONSUMER CYCLICALS,Retailers
90,Amazon Com,2000-04-04,286324000,3.1968750000000004,CONSUMER CYCLICALS,Retailers
91,Amazon Com,2000-04-05,97965940,3.109375,CONSUMER CYCLICALS,Retailers
